# Contorno da ventosa combinada - UMA LINHA SO, e PARAMETRICO.
#
# Sai do DXF vetorial do desenho do fabricante: o contorno externo, que la tem
# 470 vertices numa volta so. Aqui vai reduzido a 108 por
# Douglas-Peucker com tolerancia de 2,2 - o que sobra e o que muda a forma, e o
# que foi jogado fora nao mudava.
#
# NORMALIZADO PELA ALTURA. As duas colunas estao em fracao da altura da peca,
# e nao em milimetro: o simbolo multiplica pela altura da ficha e a mesma
# forma serve a qualquer bitola. Guardar em milimetro amarraria o contorno ao
# 2" e obrigaria um arquivo por bitola.
#
# O COTOVELO AZUL FICOU DE FORA. Ele e outra peca, com codigo proprio, e o
# contorno foi cortado na boca da valvula - a bolsa de 2" BSP femea onde ele
# enrosca. Desenha-lo junto poria na figura da ventosa uma conexao que a lista
# dela nao compra.
#
# x  do EIXO DA ROSCA, e nao do centro da caixa: o bico de saida puxa o centro
#    para a direita, e desenhar por ele poria a linha de eixo fora do tubo
# y  0 na base da rosca, -1 no alto da peca
#
# A ROSCA neste contorno vale 0.2312 da altura. O simbolo NAO usa esse
# numero para desenha-la: a rosca vem da norma (BSP, ISO 228), porque o desenho
# de origem e cotado mas nao esta em escala consigo mesmo. O valor fica aqui
# para o simbolo saber QUAIS pontos sao da rosca e substitui-los.
raio_rosca_rel,0.11558
x,y
0.2355,-0.9697
0.2313,-0.9751
0.2196,-0.9761
0.2186,-0.9920
0.2130,-0.9960
0.0898,-0.9965
0.0830,-0.9905
0.0003,-0.9905
-0.0004,-1.0000
-0.0008,-0.9905
-0.0714,-0.9897
-0.0861,-0.9811
-0.1172,-0.8834
-0.1310,-0.8738
-0.1375,-0.8561
-0.1508,-0.7708
-0.1583,-0.6942
-0.1645,-0.6783
-0.1647,-0.5086
-0.1894,-0.4862
-0.1903,-0.4272
-0.2122,-0.4160
-0.2147,-0.3996
-0.2129,-0.3874
-0.1908,-0.3847
-0.2136,-0.3822
-0.2146,-0.3603
-0.2064,-0.3527
-0.2039,-0.2648
-0.1948,-0.2518
-0.1555,-0.2376
-0.1533,-0.1666
-0.1340,-0.1517
-0.1152,-0.1517
-0.1148,-0.1426
-0.1095,-0.1389
-0.1150,-0.1331
-0.1081,-0.1280
-0.1158,-0.1225
-0.1078,-0.1177
-0.1151,-0.1116
-0.1078,-0.1067
-0.1152,-0.1010
-0.1082,-0.0954
-0.1152,-0.0903
-0.1094,-0.0852
-0.1151,-0.0792
-0.1094,-0.0742
-0.1151,-0.0682
-0.1078,-0.0630
-0.1156,-0.0577
-0.1080,-0.0527
-0.1151,-0.0471
-0.1081,-0.0417
-0.1151,-0.0361
-0.1088,-0.0302
-0.1154,-0.0257
-0.1062,-0.0135
-0.0009,-0.0114
-0.0002,-0.0000
0.0002,-0.0114
0.1044,-0.0114
0.1154,-0.0250
0.1082,-0.0295
0.1155,-0.0352
0.1082,-0.0405
0.1154,-0.0458
0.1084,-0.0516
0.1154,-0.0567
0.1093,-0.0622
0.1154,-0.0677
0.1082,-0.0729
0.1156,-0.0780
0.1084,-0.0837
0.1155,-0.0893
0.1098,-0.0941
0.1155,-0.0996
0.1098,-0.1051
0.1154,-0.1104
0.1093,-0.1159
0.1148,-0.1198
0.1098,-0.1266
0.1154,-0.1322
0.1082,-0.1371
0.1142,-0.1408
0.1146,-0.1517
0.1335,-0.1517
0.1534,-0.1650
0.1549,-0.2377
0.1925,-0.2506
0.2015,-0.2608
0.2057,-0.3552
0.2140,-0.3622
0.2131,-0.3817
0.1902,-0.3846
0.2124,-0.3874
0.2141,-0.4000
0.2111,-0.4168
0.1893,-0.4276
0.1893,-0.4859
0.1637,-0.5107
0.1598,-0.5569
0.1574,-0.7057
0.1676,-0.7337
0.1903,-0.7607
0.2169,-0.7621
0.2196,-0.7791
0.2560,-0.7816
